,day,true,predict,time_1,time_2,time_3,mse,mad
535,2022-03-09,605.37,672.422330347073,0,0,1,4496.015004972998,67.05233034707294
536,2022-03-10,305.57,347.2506648405582,1,0,0,1737.2778215509463,41.68066484055822
537,2022-03-10,981.12,1016.3850046638913,0,1,0,1243.6205539442765,35.26500466389132
538,2022-03-10,614.06,640.5805487968803,0,0,1,703.3395084877117,26.520548796880348
539,2022-03-11,307.25,300.73879913869683,1,0,0,42.395736656235094,6.511200861303166
540,2022-03-11,810.5699999999999,1075.8901557661382,0,1,0,70394.78505576785,265.3201557661382
541,2022-03-11,547.8100000000001,673.2964098336865,0,0,1,15746.839052947927,125.48640983368648
542,2022-03-12,307.19,203.89563246588253,1,0,0,10669.726364273341,103.29436753411747
543,2022-03-12,399.25,563.7253813095977,0,0,1,27052.151056937546,164.47538130959765
544,2022-03-13,302.88,209.14408208527513,1,0,0,8786.422307316037,93.73591791472487
545,2022-03-13,588.62,1005.3917456053445,0,1,0,173698.68793492595,416.77174560534445
546,2022-03-13,361.0,481.81725043716034,0,0,1,14596.80800319552,120.81725043716034
547,2022-03-14,337.75,357.3062705235647,1,0,0,382.4477167908458,19.556270523564706
548,2022-03-14,1114.75,1171.480396486384,0,1,0,3218.337885502336,56.73039648638405
549,2022-03-14,722.13,632.2338763077965,0,0,1,8081.313054883942,89.89612369220345
550,2022-03-15,317.06,349.72036593282974,1,0,0,1066.699502866345,32.660365932829734
551,2022-03-15,941.81,1228.0911169129201,0,1,0,81956.87790090908,286.2811169129202
552,2022-03-15,782.31,744.3750784904664,0,0,1,1439.0582699344693,37.934921509533524
553,2022-03-16,327.13,406.08948450449975,1,0,0,6234.600193216337,78.95948450449976
554,2022-03-16,1001.12,1279.829630359317,0,1,0,77679.0580550271,278.709630359317
555,2022-03-16,835.94,778.1913993149159,0,0,1,3334.900881085304,57.74860068508417
556,2022-03-17,347.13,423.7476159204406,1,0,0,5870.259069332151,76.61761592044058
557,2022-03-17,1223.62,1224.9011562436717,0,1,0,1.6413613206993145,1.2811562436718305
558,2022-03-17,869.63,747.8862010121669,0,0,1,14821.552591989908,121.74379898783309
559,2022-03-18,347.68,428.8944395629141,1,0,0,6595.785193518226,81.2144395629141
560,2022-03-18,921.5699999999999,833.8408127667428,0,1,0,7696.410292607882,87.72918723325711
561,2022-03-18,543.75,574.4922887138488,0,0,1,945.088315365634,30.74228871384878
562,2022-03-19,1103.13,907.8349133094036,0,1,0,38140.17088548759,195.29508669059646
563,2022-03-19,533.62,511.7210148051673,0,0,1,479.5655525635032,21.898985194832733
564,2022-03-20,335.63,217.71389952243823,1,0,0,13904.206751834443,117.91610047756177
565,2022-03-20,863.87,980.6293997972979,0,1,0,13632.757441025244,116.75939979729787
566,2022-03-20,513.25,552.4586246020264,0,0,1,1537.3162431826267,39.20862460202636
567,2022-03-21,345.94,395.21512517790217,1,0,0,2428.037961297928,49.27512517790217
568,2022-03-21,1130.94,1085.6507672052703,0,1,0,2051.114607135224,45.28923279472974
569,2022-03-21,867.3100000000001,689.5095119301184,0,0,1,31613.013557888138,177.80048806988168
570,2022-03-22,317.5,348.9354693483163,1,0,0,988.1887331489338,31.435469348316303
571,2022-03-22,922.62,721.0774304636884,0,1,0,40619.407335298994,201.5425695363116
572,2022-03-22,792.94,576.6016991655994,0,0,1,46802.26040791565,216.33830083440068
573,2022-03-23,332.88,299.9853999875616,1,0,0,1082.0547099783116,32.89460001243839
574,2022-03-23,691.06,461.09533818601597,0,0,1,52883.74568322002,229.96466181398398
575,2022-03-24,311.56,285.987529933586,1,0,0,653.9512252976392,25.572470066413985
576,2022-03-24,978.38,850.4367826257525,0,1,0,16369.466872073954,127.94321737424752
577,2022-03-24,742.94,644.8347011471818,0,0,1,9624.649663000779,98.10529885281824
578,2022-03-25,313.43,357.09797177626604,1,0,0,1906.8917590527665,43.66797177626603
579,2022-03-25,1029.38,1179.3664650892172,0,1,0,22495.93970995893,149.98646508921706
580,2022-03-25,612.81,757.2592436201692,0,0,1,20865.583982439,144.44924362016923
581,2022-03-26,1188.88,936.2855151547963,0,1,0,63803.97377421392,252.59448484520385
582,2022-03-26,543.75,460.89879253540096,0,0,1,6864.322578342032,82.85120746459904
583,2022-03-27,312.25,154.14122671958884,1,0,0,24998.384188236458,158.10877328041116
584,2022-03-27,616.75,481.0703790972224,0,1,0,18408.959528321437,135.67962090277757
585,2022-03-27,366.87,351.20687538812564,0,0,1,245.3334726071045,15.663124611874366
586,2022-03-28,326.0,284.0791021329858,1,0,0,1757.3616779766373,41.92089786701422
587,2022-03-28,936.81,608.6033569495412,0,1,0,107719.60054245124,328.20664305045875
588,2022-03-28,770.6899999999999,542.8393593343344,0,0,1,51915.91445175424,227.85064066566554
589,2022-03-29,326.75,335.75991559784177,1,0,0,81.1785790802324,9.009915597841768
590,2022-03-29,775.31,1004.0570828639318,0,1,0,52325.2279187585,228.74708286393184
591,2022-03-29,729.69,674.0812336824358,0,0,1,3092.3348913614664,55.60876631756423
592,2022-03-30,323.56,400.32050545289667,1,0,0,5892.175197384179,76.76050545289667
593,2022-03-30,869.69,1102.0096687670873,0,1,0,53972.428496049135,232.31966876708725
594,2022-03-30,686.38,732.4421486611247,0,0,1,2121.721539279557,46.06214866112475
595,2022-03-31,339.12,389.7851554797956,1,0,0,2566.9579797918623,50.6651554797956
596,2022-03-31,870.44,969.1078337591815,0,1,0,9735.34141872947,98.66783375918146
597,2022-03-31,662.37,673.6970853687877,0,0,1,128.30286295180485,11.32708536878772
598,2022-04-01,304.5,303.8271762440855,1,0,0,0.45269180652292346,0.6728237559145214
599,2022-04-01,799.75,726.2854443788075,0,1,0,5397.040932619289,73.46455562119252
600,2022-04-01,501.19,520.3559239964958,0,0,1,367.33264263945324,19.165923996495792
601,2022-04-02,270.88,111.98741642288034,1,0,0,25246.853115811948,158.89258357711964
602,2022-04-02,321.56,367.3561408453049,0,1,0,2097.2865163230017,45.796140845304876
603,2022-04-02,270.69,307.70488096551236,0,0,1,1370.1014128910492,37.01488096551236
604,2022-04-03,260.93,98.91894427468142,1,0,0,26247.582177232285,162.01105572531858
605,2022-04-03,282.94,430.4632552872495,0,1,0,21763.110850546997,147.52325528724953
606,2022-04-03,270.88,363.52816190541915,0,0,1,8583.681904452762,92.64816190541916
607,2022-04-04,269.18,155.47001325647986,1,0,0,12929.961085211527,113.70998674352015
608,2022-04-04,319.07,686.7273661553144,0,1,0,135171.9388882629,367.6573661553144
609,2022-04-04,303.93,450.9934838897189,0,0,1,21627.668293781608,147.0634838897189
610,2022-04-05,274.32,183.48833820249388,1,0,0,8250.390784896532,90.83166179750611
611,2022-04-05,281.18,943.4446567483253,0,1,0,438594.4755779771,662.2646567483253
612,2022-04-05,289.38,500.61575796990047,0,0,1,44620.545445118376,211.23575796990048
613,2022-04-06,301.81,336.1526968126923,1,0,0,1179.4208243685046,34.34269681269228
614,2022-04-06,958.44,1101.21948420618,0,1,0,20385.981110182765,142.77948420617986
615,2022-04-06,647.62,652.0429745362871,0,0,1,19.562703748644466,4.422974536287143
616,2022-04-07,339.07,378.4260925589484,1,0,0,1548.902021508516,39.35609255894843
617,2022-04-07,792.6800000000001,942.6639349803706,0,1,0,22495.18075219603,149.98393498037058
618,2022-04-07,590.63,656.9785946306378,0,0,1,4402.136009460694,66.34859463063776
619,2022-04-08,323.25,391.30239424660965,1,0,0,4631.12836269599,68.05239424660965
620,2022-04-08,788.06,999.6970408156657,0,1,0,44790.23704521176,211.63704081566573
621,2022-04-08,534.06,706.2958223385288,0,0,1,29665.178496629258,172.2358223385288
622,2022-04-09,319.38,204.2004347235823,1,0,0,13266.332257264563,115.17956527641769
623,2022-04-09,673.19,1042.3802053550378,0,1,0,136301.40773009494,369.19020535503773
624,2022-04-09,385.68,566.7974680660727,0,0,1,32803.537238664874,181.11746806607272
625,2022-04-10,463.87,1151.3832641279869,0,1,0,472674.48835191905,687.5132641279869
626,2022-04-10,362.13,609.9094733715646,0,0,1,61394.66742428987,247.77947337156456
627,2022-04-11,301.44,423.2038599411964,1,0,0,14826.437587779297,121.76385994119642
628,2022-04-11,1164.25,1331.6560932855743,0,1,0,28024.80006913842,167.40609328557434
629,2022-04-11,733.4300000000001,804.726181583203,0,0,1,5083.145508345047,71.29618158320295
630,2022-04-12,311.13,422.95380586250707,1,0,0,12504.563557575671,111.82380586250707
631,2022-04-12,1280.0,1389.5247633131214,0,1,0,11995.673778795266,109.52476331312141
632,2022-04-12,872.87,820.2079470451044,0,0,1,2773.291821424224,52.66205295489556
633,2022-04-13,327.38,446.3691406634868,1,0,0,14158.41559583505,118.98914066348681
634,2022-04-13,1175.75,1328.0409042659674,0,1,0,23192.519522146034,152.29090426596736
635,2022-04-13,769.37,779.3087236354213,0,0,1,98.77822750128193,9.938723635421297
636,2022-04-14,317.69,420.6000223454119,1,0,0,10590.472699133177,102.9100223454119
637,2022-04-14,1158.19,917.9168788124477,0,1,0,57731.1727652082,240.2731211875523
638,2022-04-14,786.81,652.0717081959948,0,0,1,18154.40727826124,134.73829180400514
639,2022-04-15,343.31,347.51614074195,1,0,0,17.691619941091528,4.20614074194998
640,2022-04-15,619.5,577.4591522598446,0,0,1,1767.4328787109305,42.040847740155414
641,2022-04-16,378.43,167.61852773126412,1,0,0,44441.476840112,210.81147226873588
642,2022-04-16,880.44,673.63357216856,0,1,0,42768.89859240061,206.80642783144003
643,2022-04-16,444.63,426.1442784536492,0,0,1,341.7219010892188,18.485721546350817
644,2022-04-17,346.93,150.0107675965636,1,0,0,38777.1840903586,196.9192324034364
645,2022-04-17,473.88,599.2165575589727,0,1,0,15709.252660733673,125.33655755897269
646,2022-04-17,375.94,441.6879897312121,0,0,1,4322.798153695572,65.7479897312121
647,2022-04-18,362.62,365.544712708111,1,0,0,8.553944424985826,2.924712708110974
648,2022-04-18,961.69,859.5185989477613,0,1,0,10438.995192977405,102.1714010522387
649,2022-04-18,544.31,585.659608302149,0,0,1,1709.7901067411512,41.34960830214902
650,2022-04-19,358.94,316.1490881102548,1,0,0,1831.0621403559362,42.79091188974519
651,2022-04-19,604.19,668.2181189515308,0,1,0,4099.600016471365,64.0281189515307
652,2022-04-19,493.68,534.8574249175589,0,0,1,1695.580322841199,41.17742491755888
653,2022-04-20,335.75,310.8520997093874,1,0,0,619.9054388812868,24.897900290612597
654,2022-04-20,651.13,837.7798453329038,0,1,0,34838.16476279693,186.64984533290385
655,2022-04-20,521.75,631.7248438514548,0,0,1,12094.466280151868,109.9748438514548
656,2022-04-21,331.69,356.9423010330493,1,0,0,637.6787074637438,25.25230103304932
657,2022-04-21,787.4300000000001,998.9345909251252,0,1,0,44734.19198240454,211.50459092512517
658,2022-04-21,679.75,718.3489139791633,0,0,1,1489.876160370847,38.598913979163285
659,2022-04-22,323.25,373.75967256661323,1,0,0,2551.2270227864815,50.50967256661323
660,2022-04-22,859.0,1346.146140347601,0,1,0,237311.36205556456,487.146140347601
661,2022-04-22,558.82,826.0097065401682,0,0,1,71390.33928102115,267.1897065401681
662,2022-04-23,333.25,253.1796142026071,1,0,0,6411.266681743339,80.0703857973929
663,2022-04-23,930.4300000000001,1098.29756130995,0,1,0,28179.51814014979,167.8675613099499
664,2022-04-23,522.8199999999999,628.0483731165762,0,0,1,11073.010508761381,105.22837311657622
665,2022-04-24,330.56,253.50739663766953,1,0,0,5937.103684912621,77.05260336233047
666,2022-04-24,606.44,1102.6761717142472,0,1,0,246250.33811761174,496.2361717142471
667,2022-04-24,428.37,603.2064515010521,0,0,1,30567.78477347975,174.83645150105212
668,2022-04-25,356.94,444.29000174010514,1,0,0,7630.022803996371,87.35000174010514
669,2022-04-25,1070.06,1339.2106593009019,0,1,0,72442.07740211017,269.1506593009019
670,2022-04-25,838.56,801.402387451637,0,0,1,1380.6881702942617,37.15761254836298
671,2022-04-26,340.88,448.37274501812726,1,0,0,11554.690231532124,107.49274501812727
672,2022-04-26,1164.25,1446.6607879257156,0,1,0,79755.8531368235,282.41078792571557
673,2022-04-26,759.94,767.1367197404599,0,0,1,51.792775022723745,7.196719740459798
674,2022-04-27,352.75,465.7361205740073,1,0,0,12765.86344236412,112.98612057400732
675,2022-04-27,1148.93,1392.8479339162175,0,1,0,59495.9584859562,243.9179339162174
676,2022-04-27,779.5699999999999,783.939613947646,0,0,1,19.093526051462725,4.36961394764603
677,2022-04-28,358.0,454.0132376094218,1,0,0,9218.541796243293,96.01323760942182
678,2022-04-28,1468.5,1335.3116523704045,0,1,0,17739.135944301965,133.18834762959546
679,2022-04-28,892.9300000000001,816.4189754388124,0,0,1,5853.936879402667,76.5110245611877
680,2022-04-29,340.19,446.58069196414067,1,0,0,11318.979336608667,106.39069196414067
681,2022-04-29,1266.38,1325.6224999126391,0,1,0,3509.6737958990325,59.242499912639005
